INVOICE_NUMBER,DATE,VENDOR_NUMBER,VENDORNAME,INVOICE_DESCRIPTION,ACCOUNT_DESCRIPTION,DEPTNAME,DEPTNUM,SUBDEPTNAME,SUBDEPTNUM,FYR,AMOUNT
008-142-20 Rdmp,03-APR-15,9999999999,TEMP,"REFUND, SPECIAL ASSESSMENTS","SAD 2011 #1 (DIST 7724) DEBT FND-Deposit, other",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,698.23
2015-00003067,03-APR-15,9999999999,TEMP,RESTITUTION CITY OF RENO VS. RONALD HENRY CORDOVA,"GENERAL FUND-Deposit, muni court restitution",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,10
2015-00003059,03-APR-15,9999999999,TEMP,BAIL REFUND,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,659
2015-00003058,03-APR-15,9999999999,TEMP,BAIL REFUND,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,743
MB CUST# 11639,03-APR-15,9999999999,TEMP,REFUND,GENERAL FUND-Accounts Payable - Other,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,224
2015-00003073,03-APR-15,9999999999,TEMP,603541-001,SANITARY SEWER O/M FUND-Sewer Refunds Payable,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,264
208576-GG,03-APR-15,9999999999,TEMP,411455-001,SANITARY SEWER O/M FUND-Sewer Refunds Payable,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,101.16
2015-00003063,03-APR-15,9999999999,TEMP,BAIL REFUND CITY OF RENO VS. JILBERTO GRANDE,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,2750
2015-00003060,03-APR-15,9999999999,TEMP,BAIL REFUND CITY OF RENO VS. CIARA MASON,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,888
391494,03-APR-15,9999999999,TEMP,"REFUND, RENTALS","GENERAL FUND-Deposit, Bldgs/Alcohol Permits",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,1000
2015-00003066,03-APR-15,9999999999,TEMP,BAIL REFUND CITY OF RENO VS. RYAN KENNETH RIEGER,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,4350
2015-00003064,03-APR-15,9999999999,TEMP,BAIL REFUND CITY OF RENO VS. ANGELA DAWN JANGAARD,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,1940
2015-00003055,03-APR-15,9999999999,TEMP,OVERPAYMENT OF FINE,"GENERAL FUND-Overpayments, Muni Court",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,25
2015-00003071,03-APR-15,9999999999,TEMP,RESTITUTION CITY OF RENO VS. GEORGE MARTIN COUBROUGH,"GENERAL FUND-Deposit, muni court restitution",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,103
2015-00003056,03-APR-15,9999999999,TEMP,OVERPAYMENT OF FINE,"GENERAL FUND-Overpayments, Muni Court",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,25
2015-00003057,03-APR-15,9999999999,TEMP,OVERPAYMENT OF FINE,"GENERAL FUND-Overpayments, Muni Court",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,25
MB CUST# 19131,03-APR-15,9999999999,TEMP,REFUND,SANITARY SEWER O/M FUND-Accounts Payable - Other,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,167
208735-009-CD,03-APR-15,9999999999,TEMP,221745-001,SANITARY SEWER O/M FUND-Sewer Refunds Payable,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,101.16
2015-00003069,03-APR-15,9999999999,TEMP,RESTITUTION CITY OF RENO VS. KARLA MARIA MENDOZA,"GENERAL FUND-Deposit, muni court restitution",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,100
MARCH 2015,03-APR-15,2723,ATKINSON,CIVIL SERVICE PAYMENT,GENERAL FUND-Civil Service-Workforce Planning-Development-Miscellaneous operating expense,Civil Service,0620,Civil Service-Workforce Planning-Development,0620-0650,Fiscal 14/15,50
MARCH 2015,03-APR-15,26205,GEORGESON,CIVIL SERVICE PAYMENT,GENERAL FUND-Civil Service-Workforce Planning-Development-Miscellaneous operating expense,Civil Service,0620,Civil Service-Workforce Planning-Development,0620-0650,Fiscal 14/15,50
MARCH 2015,03-APR-15,4846,MARTINEZ,CIVIL SERVICE PAYMENT,GENERAL FUND-Civil Service-Workforce Planning-Development-Miscellaneous operating expense,Civil Service,0620,Civil Service-Workforce Planning-Development,0620-0650,Fiscal 14/15,50
MARCH 2015,03-APR-15,16248,MULLINS BERTHA,CIVIL SERVICE PAYMENT,GENERAL FUND-Civil Service-Workforce Planning-Development-Miscellaneous operating expense,Civil Service,0620,Civil Service-Workforce Planning-Development,0620-0650,Fiscal 14/15,50
790506,03-APR-15,25331,OFFICEMAX,OFFICE SUPPLIES,GENERAL FUND-Civil Service-Workforce Planning-Development-Supplies,Civil Service,0620,Civil Service-Workforce Planning-Development,0620-0650,Fiscal 14/15,63.84
766684,03-APR-15,25331,OFFICEMAX,OFFICE SUPPLIES,GENERAL FUND-Civil Service-Workforce Planning-Development-Supplies,Civil Service,0620,Civil Service-Workforce Planning-Development,0620-0650,Fiscal 14/15,-19.24
740176,03-APR-15,25331,OFFICEMAX,OFFICE SUPPLIES,GENERAL FUND-Civil Service-Workforce Planning-Development-Supplies,Civil Service,0620,Civil Service-Workforce Planning-Development,0620-0650,Fiscal 14/15,273.35
70506/0215,03-APR-15,7855,SILVER LEGACY,PERSONNEL/HIRING COSTS,GENERAL FUND-Civil Service-Workforce Planning-Development-Outside services-other,Civil Service,0620,Civil Service-Workforce Planning-Development,0620-0650,Fiscal 14/15,866.54
MARCH 2015,03-APR-15,6087,,CIVIL SERVICE PAYMENT,GENERAL FUND-Civil Service-Workforce Planning-Development-Miscellaneous operating expense,Civil Service,0620,Civil Service-Workforce Planning-Development,0620-0650,Fiscal 14/15,50
MARCH 2015,03-APR-15,5780,,CIVIL SERVICE PAYMENT,GENERAL FUND-Civil Service-Workforce Planning-Development-Miscellaneous operating expense,Civil Service,0620,Civil Service-Workforce Planning-Development,0620-0650,Fiscal 14/15,50
082230225,03-APR-15,15702,SHRED-IT,RECORD STORAGE - DOCUMENT DESTRUCTION,GENERAL FUND-Communications & Technology-Dispatch-Outside services-other,Communications and Technology,1700,Communications & Technology-Dispatch,1700-1710,Fiscal 14/15,39
10/16/14-11/4/14,03-APR-15,6584,,PERSONNEL/HIRING COSTS,GENERAL FUND-Communications & Technology-Dispatch-Outside services-other,Communications and Technology,1700,Communications & Technology-Dispatch,1700-1710,Fiscal 14/15,4000
F28JF701,03-APR-15,2929,ADI-HONEYWELL INTERNATIONAL,"COMPUTERS, Supplies",GENERAL FUND-Communications & Technology-Technology-Supplies,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,20.99
2015-00003014,03-APR-15,428,AT&T,"UTILITIES, TELEPHONE",GENERAL FUND-Communications & Technology-Technology-Communication,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,5531.18
2015-00003023,03-APR-15,6792,CHARTER COMMUNICATIONS,CABLE/WIRE/FIBER OPTICS,GENERAL FUND-Communications & Technology-Technology-Communication,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,4325.96
2015-00003022,03-APR-15,6792,CHARTER COMMUNICATIONS,CABLE/WIRE/FIBER OPTICS,GENERAL FUND-Communications & Technology-Technology-Communication,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,5635.94
XJDD4DWT6CR,03-APR-15,8855,DELL COMPUTER CORP,COMPUTERS,GENERAL FUND-Communications & Technology-Technology-Outside services-other,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,-884.8
XJN55WCK6,03-APR-15,8855,DELL COMPUTER CORP,VoIP Backup Server,GENERAL FUND-Communications & Technology-Technology-Outside services-other,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,12800.65
XJN41JJ95,03-APR-15,8855,DELL COMPUTER CORP,Dell AppAssure Software,GENERAL FUND-Communications & Technology-Technology-Outside services-other,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,13854.06
2-967-47792,03-APR-15,893,FEDERAL EXPRESS CORP,FREIGHT/SHIPPING,GENERAL FUND-Communications & Technology-Technology-Communication,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,22.85
2-966-24943,03-APR-15,893,FEDERAL EXPRESS CORP,FREIGHT/SHIPPING,GENERAL FUND-Communications & Technology-Technology-Communication,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,7.96
2-951-77434,03-APR-15,893,FEDERAL EXPRESS CORP,FREIGHT/SHIPPING,GENERAL FUND-Communications & Technology-Technology-Communication,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,14.51
3120687,03-APR-15,4212,HARLAND TECHNOLOGY SERVICES,Scantron for Civil Service,GENERAL FUND-Communications & Technology-Technology-Supplies-to be tracked,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,35
3120687,03-APR-15,4212,HARLAND TECHNOLOGY SERVICES,Scantron for Civil Service,GENERAL FUND-Communications & Technology-Technology-Supplies-to be tracked,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,2968.95
1007071,03-APR-15,4212,HARLAND TECHNOLOGY SERVICES,Scantron for Civil Service,GENERAL FUND-Communications & Technology-Technology-Supplies-to be tracked,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,2495
93196599,03-APR-15,4364,HARRIS CORPORATION,"RADIOS, MOBILE/PORTABLE",GENERAL FUND-Communications & Technology-Technology-Supplies,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,684.97
93196867,03-APR-15,4364,HARRIS CORPORATION,"RADIOS, MOBILE/PORTABLE",GENERAL FUND-Communications & Technology-Technology-Supplies,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,684.97
93197069,03-APR-15,4364,HARRIS CORPORATION,"RADIOS, MOBILE/PORTABLE",GENERAL FUND-Communications & Technology-Technology-Supplies,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,684.97
SI-102639,03-APR-15,15417,"HUBB SYSTEMS, LLC\ DATA 911",New MDT for PD,GENERAL FUND-Communications & Technology-Technology-Outside services-other,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,11450
SI-102639,03-APR-15,15417,"HUBB SYSTEMS, LLC\ DATA 911",New MDT for PD,GENERAL FUND-Communications & Technology-Technology-Outside services-other,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,118
6758,03-APR-15,2070,QSCEND TECHNOLOGIES INC,CONTRACTORS,GENERAL FUND-Communications & Technology-Technology-Outside services-other,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,375
1815001554,03-APR-15,27942,WASHOE COUNTY TREASURER,"RADIOS, MOBILE/PORTABLE",GENERAL FUND-Communications & Technology-Technology-Outside services-other,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,21225.89
2015-00003030,03-APR-15,5078,ZAYO BANDWIDTH LLC,INTERNET SERVICES,GENERAL FUND-Communications & Technology-Technology-Outside services-other,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,1969.67
117126,03-APR-15,5743,,"COMPUTERS, Software",GENERAL FUND-Communications & Technology-Technology-Outside services-other,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,732.6
2-982-84107,03-APR-15,893,FEDERAL EXPRESS CORP,FREIGHT/SHIPPING,SANITARY SEWER O/M FUND-Finance-Sewer Collections-Communication,Finance,0400,Finance-Sewer Collections,0400-0455,Fiscal 14/15,23.5
2015-00003010,03-APR-15,1492,ALICEA,"TRAINING, Reimbursment for employee paid training",BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Employee training/travel,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,363
397A,03-APR-15,1855,CARSON DODGE CHRYSLER,Vehicles Light Trucks,BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Machinery & equipment,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,1350
397A,03-APR-15,1855,CARSON DODGE CHRYSLER,Vehicles Light Trucks,BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Machinery & equipment,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,204
397A,03-APR-15,1855,CARSON DODGE CHRYSLER,Vehicles Light Trucks,BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Machinery & equipment,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,2169
397A,03-APR-15,1855,CARSON DODGE CHRYSLER,Vehicles Light Trucks,BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Machinery & equipment,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,84.75
397A,03-APR-15,1855,CARSON DODGE CHRYSLER,Vehicles Light Trucks,BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Machinery & equipment,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,60600
15GB012942,03-APR-15,26000,DAILEY-WELLS COMMUNICATIONS,Hand Held Radios,BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Miscellaneous operating expense,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,22698.96
2015-00003009,03-APR-15,1625,FOSTER-ORTIZ,"TRAINING, Reimbursment for employee paid training",BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Employee training/travel,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,373
BOOTS 2015,03-APR-15,8890,KENNEDY,"REFUND, EMPLOYEES",BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Supplies,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,250
2015-00003006,03-APR-15,9898,MCGIVNEY,"TRAINING, Reimbursment for employee paid training",BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Employee training/travel,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,392.01
2015-00003007,03-APR-15,21323,MILLER HOLLY,"TRAINING, Reimbursment for employee paid training",BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Employee training/travel,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,785
2015-00003008,03-APR-15,1086,SINGLETON,"TRAINING, Reimbursment for employee paid training",BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Employee training/travel,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,500.7
2015-00003012,03-APR-15,6479,,"TRAINING, Reimbursment for employee paid training",BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Employee training/travel,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,584.83
71142010-003,03-APR-15,6395,,STAFFING/TEMPORARY SERVICES,BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Outside services-other,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,200
FEB.2015/CAC,03-APR-15,4064,VOLUNTEERS OF AMERICA,Community Development Block Grants,CAC OPERATIONS-Community Development-CAC Operations-Non-city programs,Community Development,0700,Community Development-CAC Operations,0700-0050,Fiscal 14/15,17955
2014-00004454,03-APR-15,5482,,INV# 2015-02-24-1428-1,GENERAL FUND-Community Development-Code Enforcement-Outside services-other,Community Development,0700,Community Development-Code Enforcement,0700-0780,Fiscal 14/15,325.86
115INV26188FSD,03-APR-15,85,BOARD OF REGENTS-UNR M/S 124,PROFESSIONAL SERVICES,GENERAL FUND-Community Development-Land Use Planning-Outside services-other,Community Development,0700,Community Development-Land Use Planning,0700-0755,Fiscal 14/15,49410
71142010-003,03-APR-15,6395,,STAFFING/TEMPORARY SERVICES,GENERAL FUND-Community Development-Land Use Planning-Outside services-other,Community Development,0700,Community Development-Land Use Planning,0700-0755,Fiscal 14/15,57.13
ISRAEL WROTEN,03-APR-15,9999999999,TEMP,Home Grants,HOME PROGRAM-Community Development-Non-Departmental-HOME projects,Community Development,0700,Community Development-Non-Departmental,0700-9999,Fiscal 14/15,343
NAKEBA FOSTER,03-APR-15,9999999999,TEMP,Home Grants,HOME PROGRAM-Community Development-Non-Departmental-HOME projects,Community Development,0700,Community Development-Non-Departmental,0700-9999,Fiscal 14/15,850
2015-00003019,03-APR-15,5776,,"REFUNDS, EMPLOYEES, MILEAGE REIMBURSEMENT",GENERAL FUND-Finance-Financial Management-Employee training/travel,Finance,0400,Finance-Accounting,0400-0410,Fiscal 14/15,37.38
74780,03-APR-15,4208,ARC HEALTH AND WELLNESS CENTERS LLC,MEDICAL/DENTAL SERVICES,GENERAL FUND-Fire-Emergency Operations-Outside services-other,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,250.71
74779,03-APR-15,4208,ARC HEALTH AND WELLNESS CENTERS LLC,MEDICAL/DENTAL SERVICES,GENERAL FUND-Fire-Emergency Operations-Outside services-other,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,263.32
74781,03-APR-15,4208,ARC HEALTH AND WELLNESS CENTERS LLC,MEDICAL/DENTAL SERVICES,GENERAL FUND-Fire-Emergency Operations-Outside services-other,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,250.71
74588,03-APR-15,4208,ARC HEALTH AND WELLNESS CENTERS LLC,MEDICAL/DENTAL SERVICES,GENERAL FUND-Fire-Emergency Operations-Outside services-other,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,250.71
74778,03-APR-15,4208,ARC HEALTH AND WELLNESS CENTERS LLC,MEDICAL/DENTAL SERVICES,GENERAL FUND-Fire-Emergency Operations-Outside services-other,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,250.71
74589,03-APR-15,4208,ARC HEALTH AND WELLNESS CENTERS LLC,MEDICAL/DENTAL SERVICES,GENERAL FUND-Fire-Emergency Operations-Outside services-other,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,326.37
2015-00003014,03-APR-15,428,AT&T,"UTILITIES, TELEPHONE",GENERAL FUND-Fire-Emergency Operations-Communication,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,166.22
0106691-IN,03-APR-15,210,ENTENMANN ROVIN,"CLOTHING, UNIFORMS, Fire Personnel",GENERAL FUND-Fire-Emergency Operations-Supplies,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,101
1069358,03-APR-15,45000,FERGUSON ENTERPRISES INC,TOOLS,GENERAL FUND-Fire-Emergency Operations-Supplies,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,1800
1067014,03-APR-15,45000,FERGUSON ENTERPRISES INC,TOOLS,GENERAL FUND-Fire-Emergency Operations-Supplies,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,1900
9542,03-APR-15,6816,FITNESS2GO,FITNESS EQUIPMENT,GENERAL FUND-Fire-Emergency Operations-Outside services-other,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,496.5
704411,03-APR-15,1224,LIFE ASSIST INC,Medical Supplies,GENERAL FUND-Fire-Emergency Operations-Supplies,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,1061.48
00609939_SNV,03-APR-15,1818,MUNICIPAL EMERGENCY SERVICES INC,Turn Outs for New Member,GENERAL FUND-Fire-Emergency Operations-Supplies,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,341
00610392_SNV,03-APR-15,1818,MUNICIPAL EMERGENCY SERVICES INC,"CLOTHING, PROTECTIVE",GENERAL FUND-Fire-Emergency Operations-Supplies,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,142.87
00609490_SNV,03-APR-15,1818,MUNICIPAL EMERGENCY SERVICES INC,FIRE SUPPRESSION SUPPLIES,GENERAL FUND-Fire-Emergency Operations-Supplies,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,402.28
00610388_SNV,03-APR-15,1818,MUNICIPAL EMERGENCY SERVICES INC,"CLOTHING, PROTECTIVE",GENERAL FUND-Fire-Emergency Operations-Supplies,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,647.5
00610389_SNV,03-APR-15,1818,MUNICIPAL EMERGENCY SERVICES INC,SAFETY EQUIPMENT,GENERAL FUND-Fire-Emergency Operations-Supplies,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,875
